id,bucket_id,name,metadata,created_at,updated_at
bc4994d2-a1a7-4c89-98e8-97072feaab04,log-attachments,logs/2026/08/22/15efbadd-8ead-4f2d-b37f-e9f2379a20b0.png,"{""eTag"":""\""2bfcd118717cfdd9cc739645fb0dd08a\"""",""size"":1524358,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:11:27.000Z"",""contentLength"":1524358,""httpStatusCode"":200}",2026-08-21 16:11:26.470476+00,2026-08-21 16:11:26.470476+00
c86f8acb-6b59-43ca-9ce5-79af1389f045,log-attachments,logs/2026/08/22/162635f3-9e5e-4843-a689-1bcfe0145e98.png,"{""eTag"":""\""eb8561c156d549349315cebc0d7a42d1\"""",""size"":1646491,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:25:17.000Z"",""contentLength"":1646491,""httpStatusCode"":200}",2026-08-21 16:25:17.021782+00,2026-08-21 16:25:17.021782+00
326054d4-5c75-448a-9456-23093d0f0101,log-attachments,logs/2026/08/22/1c2d5f7d-87d1-4246-876c-64585f678656.png,"{""eTag"":""\""eb8561c156d549349315cebc0d7a42d1\"""",""size"":1646491,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:47:19.000Z"",""contentLength"":1646491,""httpStatusCode"":200}",2026-08-21 16:47:18.567685+00,2026-08-21 16:47:18.567685+00
a6fed9f4-ef8f-4cb4-9db9-5d9e721ac996,log-attachments,logs/2026/08/22/1ed6aeb8-eab8-4eeb-ac66-891876e3810d.png,"{""eTag"":""\""eb8561c156d549349315cebc0d7a42d1\"""",""size"":1646491,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:48:48.000Z"",""contentLength"":1646491,""httpStatusCode"":200}",2026-08-21 16:48:48.058767+00,2026-08-21 16:48:48.058767+00
645cc6c5-95c0-443a-b521-b67734f30f24,log-attachments,logs/2026/08/22/23d9365f-a79d-4757-812b-054875bc4c3d.png,"{""eTag"":""\""414eb99ada2eb520a38e44a0bf43cbf4\"""",""size"":1556109,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:25:17.000Z"",""contentLength"":1556109,""httpStatusCode"":200}",2026-08-21 16:25:16.296536+00,2026-08-21 16:25:16.296536+00
fdd0d89d-cf41-4e83-9fdb-6eb75cb95a6c,log-attachments,logs/2026/08/22/23f5cb7f-521a-4f99-8c05-a380f51f0c0f.png,"{""eTag"":""\""d6f0369fe9caab10ce763a142f1e3dba\"""",""size"":1675950,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T16:28:49.000Z"",""contentLength"":1675950,""httpStatusCode"":200}",2026-08-21 16:28:48.653916+00,2026-08-21 16:28:48.653916+00
286b711d-9351-48de-9244-960d25d8004f,log-attachments,logs/2026/08/22/297dc739-46da-4e7f-964d-47aab43da4bf.md,"{""eTag"":""\""e31ed0bb32fe0d505ce2d3607024704c\"""",""size"":18670,""mimetype"":""text/markdown"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T18:14:46.000Z"",""contentLength"":18670,""httpStatusCode"":200}",2026-08-21 18:14:45.866011+00,2026-08-21 18:14:45.866011+00
b73fe1f0-a297-4f81-9bd3-00fcc40c010d,log-attachments,logs/2026/08/22/29ac4874-dbef-40b5-b069-92f25d602ed8.pdf,"{""eTag"":""\""e58e9ec07dd16900dfba765b30bd5cf3-2\"""",""size"":18485347,""mimetype"":""application/pdf"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T15:55:03.000Z"",""contentLength"":18485347,""httpStatusCode"":200}",2026-08-21 15:55:03.193671+00,2026-08-21 15:55:03.193671+00
11f76fad-f025-4c19-9c7a-724311e18a6e,log-attachments,logs/2026/08/22/2e57376e-e0cb-4748-9d19-41ca6cec99ce.png,"{""eTag"":""\""77ae8f25b87f79b573c0c433ff2c0051\"""",""size"":424688,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T18:03:59.000Z"",""contentLength"":424688,""httpStatusCode"":200}",2026-08-21 18:03:58.641731+00,2026-08-21 18:03:58.641731+00
03217a18-4cea-4ddc-b8ab-9fee086730bd,log-attachments,logs/2026/08/22/2f2c5024-7425-467d-86d4-791eb5b848e9.png,"{""eTag"":""\""d6f0369fe9caab10ce763a142f1e3dba\"""",""size"":1675950,""mimetype"":""image/png"",""cacheControl"":""max-age=3600"",""lastModified"":""2026-08-21T15:54:45.000Z"",""contentLength"":1675950,""httpStatusCode"":200}",2026-08-21 15:54:44.217818+00,2026-08-21 15:54:44.217818+00
